"Palta", 449.83, 545
"Espárrago", 575.45, 208
"Zanahoria", 31.59, 666
"Rabanito", 240.56, 294
"Frambuesa", 2153.98, 84
"Lima", 1307.35, 236
"Coliflor", 30.77, 545
"Lima", 1054.44, 206
"Durazno", 160.61, 648
"Champignon", 3621.80, 109
"Palta", 1144.49, 416
"Lima", 1209.38, 222
"Apio", 55.38, 315
"Berenjena", 59.57, 486
"Coliflor", 33.85, 510
"Berenjena", 55.01, 600
"Banana", 50.13, 1030
"Naranja", 16.80, 860
"Mandarina", 26.95, 950
"Banana", 59.25, 1090
"Morrón", 2876.30, 540
"Naranja", 16.64, 1170
"Acelga", 24.47, 747
"Naranja", 8.08, 1190
"Kinoto", 40.39, 202
"Ajo", 933.42, 114
"Manzana", 145.31, 1000
"Mandarina", 9.65, 1050
"TomCherry", 556.39, 234
"Espárrago", 632.81, 160
"Ciruela", 936.29, 1062
"Tomate", 709.73, 792
"Tomate", 743.25, 1026
"Morrón", 2914.68, 666
"Repollo", 4.50, 833
"Papa", 12.76, 1000
"Limon", 305.08, 707
"Brócoli", 364.43, 392
"Lima", 1246.43, 214
"Frutilla", 256.40, 330
"Tomate", 718.45, 927
"Ciruela", 1017.94, 720
"Durazno", 155.79, 768
"Banana", 52.45, 860
"Lima", 1222.40, 218
"Frambuesa", 2102.31, 96
"Lima", 1205.06, 204
"Manzana", 127.18, 1040
"Choclo", 57.98, 258
"Uva", 710.61, 354
"Zanahoria", 41.61, 552
"Morrón", 2952.10, 486
"Durazno", 183.60, 680
"Alcachofa", 153.55, 348
"Champignon", 3623.84, 82
"Lima", 1346.43, 222
"Uva", 703.32, 300
"Alcachofa", 150.07, 240
"Caqui", 770.72, 118
"Sandía", 64.37, 1035
"Frambuesa", 2101.11, 86
"Cereza", 1070.58, 180
"Alcachofa", 164.53, 279
"Batata", 13.31, 1080
"Ajo", 884.78, 105
"Choclo", 54.10, 354
"Naranja", 17.46, 1110
"Morrón", 2892.02, 504
"Alcachofa", 137.96, 240
"Lima", 1384.06, 210
"Alcachofa", 145.00, 333
"Rabanito", 222.48, 315
"Durazno", 276.18, 840
"Pepino", 31.23, 550
"Pomelo", 45.27, 882
"Ajo", 914.43, 115
"Cebolla", 61.59, 912
"TomCherry", 551.06, 232
"Papa", 16.46, 1040
"Tomate", 759.06, 918
"Berenjena", 74.15, 690
"Melón", 116.08, 432
"Sandía", 56.19, 1062
"Pomelo", 32.23, 1044
"Cereza", 988.57, 222
"Coliflor", 26.47, 465
"Champignon", 3542.02, 91
"Durazno", 182.26, 664
"Palta", 471.13, 600
"TomCherry", 577.16, 194
"Berenjena", 58.34, 558
"Brócoli", 385.53, 340
"Cereza", 1033.66, 162
"Melón", 87.45, 396
"Lima", 1196.87, 178
"Durazno", 190.26, 864
"Zanahoria", 38.47, 600
"Coliflor", 25.17, 460
"Kiwi", 440.00, 328
"Champignon", 3606.55, 103
"Kiwi", 422.19, 400
"Durazno", 174.12, 824
"Ciruela", 1018.11, 945
"TomCherry", 528.04, 218
"Champignon", 3534.02, 118
"Frutilla", 295.00, 261
"Durazno", 274.17, 904
"Frutilla", 292.70, 318
"Pepino", 28.13, 590
"Caqui", 831.01, 110
"Ciruela", 913.11, 810
"Espárrago", 615.39, 234
"Naranja", 15.59, 970
